"","letter","synapses","sex","treatment","time","ID","P1","P2","X","Y","age","animal","category","cell"
"73","AO","Glutamate","Male","Control",6,"23623003",-12.52826881,-47.92866135,NA,NA,39,17,2,"17.1.1"
"74","AO","Glutamate","Male","Control",6.083333333,"23623003",-40.32335663,-4.922967434,NA,NA,39,17,2,"17.1.1"
"75","AO","Glutamate","Male","Control",6.166666667,"23623003",-3.951223373,-4.561574936,NA,NA,39,17,2,"17.1.1"
"76","AO","Glutamate","Male","Control",6.25,"23623003",-5.300421238,-41.31116486,NA,NA,39,17,2,"17.1.1"
"77","AO","Glutamate","Male","Control",6.333333333,"23623003",-8.376272202,-8.376272202,NA,NA,39,17,2,"17.1.1"
"78","AO","Glutamate","Male","Control",6.416666667,"23623003",-3.509521484,-18.15795898,NA,NA,39,17,2,"17.1.1"
"79","AO","Glutamate","Male","Control",6.5,"23623003",-5.838494778,-33.30431366,NA,NA,39,17,2,"17.1.1"
"80","AO","Glutamate","Male","Control",6.583333333,"23623003",-21.02500534,-5.766216278,NA,NA,39,17,2,"17.1.1"
"81","AO","Glutamate","Male","Control",6.666666667,"23623003",-56.42539597,-8.207622528,NA,NA,39,17,2,"17.1.1"
"82","AO","Glutamate","Male","Control",6.75,"23623003",-5.525287628,-6.745990753,NA,NA,39,17,2,"17.1.1"
"83","AO","Glutamate","Male","Control",6.833333333,"23623003",-3.943192244,-11.87776279,NA,NA,39,17,2,"17.1.1"
"84","AO","Glutamate","Male","Control",6.916666667,"23623003",0.016061883,-48.20170975,NA,NA,39,17,2,"17.1.1"
"85","AO","Glutamate","Male","Control",7,"23623003",-9.034809113,-29.17641068,NA,NA,39,17,2,"17.1.1"
"86","AO","Glutamate","Male","Control",7.083333333,"23623003",-8.906313896,-58.95514297,NA,NA,39,17,2,"17.1.1"
"87","AO","Glutamate","Male","Control",7.166666667,"23623003",-6.440814972,-5.830463409,NA,NA,39,17,2,"17.1.1"
"88","AO","Glutamate","Male","Control",7.25,"23623003",-57.46138763,-11.07466888,NA,NA,39,17,2,"17.1.1"
"89","AO","Glutamate","Male","Control",7.333333333,"23623003",-39.79331589,-8.055034637,NA,NA,39,17,2,"17.1.1"
"90","AO","Glutamate","Male","Control",7.416666667,"23623003",-5.428916454,-29.84297943,NA,NA,39,17,2,"17.1.1"
"91","AO","Glutamate","Male","Control",7.5,"23623003",-6.962826252,-8.183529854,NA,NA,39,17,2,"17.1.1"
"92","AO","Glutamate","Male","Control",7.583333333,"23623003",-11.33165836,-7.669549465,NA,NA,39,17,2,"17.1.1"
"93","AO","Glutamate","Male","Control",7.666666667,"23623003",-7.565146923,-10.00655365,NA,NA,39,17,2,"17.1.1"
"94","AO","Glutamate","Male","Control",7.75,"23623003",-4.400956154,-6.842362404,NA,NA,39,17,2,"17.1.1"
"95","AO","Glutamate","Male","Control",7.833333333,"23623003",-10.83374023,-6.561279297,NA,NA,39,17,2,"17.1.1"
"96","AO","Glutamate","Male","Control",7.916666667,"23623003",-7.733796597,-18.10977364,NA,NA,39,17,2,"17.1.1"
"97","AO","Glutamate","Male","Control",8,"23623003",-6.344443798,-13.05831146,NA,NA,39,17,2,"17.1.1"
"98","AO","Glutamate","Male","Control",8.083333333,"23623003",-5.252235889,-21.12137604,NA,NA,39,17,2,"17.1.1"
"99","AO","Glutamate","Male","Control",8.166666667,"23623003",-8.793881416,-8.183529854,NA,NA,39,17,2,"17.1.1"
"100","AO","Glutamate","Male","Control",8.25,"23623003",-4.119873047,-9.613037109,NA,NA,39,17,2,"17.1.1"
"101","AO","Glutamate","Male","Control",8.333333333,"23623003",-5.549380779,-11.65289593,NA,NA,39,17,2,"17.1.1"
"102","AO","Glutamate","Male","Control",8.416666667,"23623003",-5.284359455,-11.38787556,NA,NA,39,17,2,"17.1.1"
"103","AO","Glutamate","Male","Control",8.5,"23623003",-6.28019619,-6.890547752,NA,NA,39,17,2,"17.1.1"
"104","AO","Glutamate","Male","Control",8.583333333,"23623003",-4.465203762,-9.348015785,NA,NA,39,17,2,"17.1.1"
"105","AO","Glutamate","Male","Control",8.666666667,"23623003",-5.685906887,-7.516961575,NA,NA,39,17,2,"17.1.1"
"106","AO","Glutamate","Male","Control",8.75,"23623003",-3.886975765,-10.60084248,NA,NA,39,17,2,"17.1.1"
"107","AO","Glutamate","Male","Control",8.833333333,"23623003",-6.810238361,-6.810238361,NA,NA,39,17,2,"17.1.1"
"108","AO","Glutamate","Male","Control",8.916666667,"23623003",-2.449437141,0.602320611,NA,NA,39,17,2,"17.1.1"
"109","AO","Glutamate","Male","Control",9,"23623003",-9.548789978,-10.7694931,NA,NA,39,17,2,"17.1.1"
"110","AO","Glutamate","Male","Control",9.083333333,"23623003",-4.858719826,-9.741532326,NA,NA,39,17,2,"17.1.1"
"111","AO","Glutamate","Male","Control",9.166666667,"23623003",-5.605597019,-8.047003746,NA,NA,39,17,2,"17.1.1"
"112","AO","Glutamate","Male","Control",9.25,"23623003",-4.561574936,-8.223684311,NA,NA,39,17,2,"17.1.1"
"113","AO","Glutamate","Male","Control",9.333333333,"23623003",-6.72992897,-11.61274147,NA,NA,39,17,2,"17.1.1"
"114","AO","Glutamate","Male","Control",9.416666667,"23623003",-3.646047592,-7.91850853,NA,NA,39,17,2,"17.1.1"
"115","AO","Glutamate","Male","Control",9.5,"23623003",-5.975020409,-9.637129784,NA,NA,39,17,2,"17.1.1"
"116","AO","Glutamate","Male","Control",9.583333333,"23623003",-25.610672,-7.910477638,NA,NA,39,17,2,"17.1.1"
"117","AO","Glutamate","Male","Control",9.666666667,"23623003",-5.003276825,-6.22397995,NA,NA,39,17,2,"17.1.1"
"118","AO","Glutamate","Male","Control",9.75,"23623003",-7.645456314,-6.424753189,NA,NA,39,17,2,"17.1.1"
"119","AO","Glutamate","Male","Control",9.833333333,"23623003",-7.420589924,-22.06902695,NA,NA,39,17,2,"17.1.1"
"120","AO","Glutamate","Male","Control",9.916666667,"23623003",-5.734092236,-14.88936615,NA,NA,39,17,2,"17.1.1"
"121","AO","Glutamate","Male","Control",10,"23623003",-6.585371971,-15.13029385,NA,NA,39,17,2,"17.1.1"
"122","AO","Glutamate","Male","Control",10.08333333,"23623003",-7.372404575,-6.15170145,NA,NA,39,17,2,"17.1.1"
"123","AO","Glutamate","Male","Control",10.16666667,"23623003",-5.661813736,-8.103219986,NA,NA,39,17,2,"17.1.1"
"124","AO","Glutamate","Male","Control",10.25,"23623003",-13.08240414,-14.91345882,NA,NA,39,17,2,"17.1.1"
"125","AO","Glutamate","Male","Control",10.33333333,"23623003",-4.529450893,-6.360505581,NA,NA,39,17,2,"17.1.1"
"126","AO","Glutamate","Male","Control",10.41666667,"23623003",-5.766216278,-24.07676315,NA,NA,39,17,2,"17.1.1"
"127","AO","Glutamate","Male","Control",10.5,"23623003",-5.276328564,-6.497031689,NA,NA,39,17,2,"17.1.1"
"128","AO","Glutamate","Male","Control",10.58333333,"23623003",-19.28229141,-7.685611248,NA,NA,39,17,2,"17.1.1"
"129","AO","Glutamate","Male","Control",10.66666667,"23623003",-5.942896843,-5.33254528,NA,NA,39,17,2,"17.1.1"
"130","AO","Glutamate","Male","Control",10.75,"23623003",-7.798044205,-5.356637955,NA,NA,39,17,2,"17.1.1"
"131","AO","Glutamate","Male","Control",10.83333333,"23623003",-4.071687222,-7.123445034,NA,NA,39,17,2,"17.1.1"
"132","AO","Glutamate","Male","Control",10.91666667,"23623003",-4.834626675,-5.444978237,NA,NA,39,17,2,"17.1.1"
"133","AO","Glutamate","Male","Control",11,"23623004",-5.47710228,-2.425344467,NA,NA,39,17,2,"17.1.1"
"134","AO","Glutamate","Male","Control",11.08333333,"23623004",-7.781982422,-5.950927734,NA,NA,39,17,2,"17.1.1"
"135","AO","Glutamate","Male","Control",11.16666667,"23623004",-6.29625845,-8.737664223,NA,NA,39,17,2,"17.1.1"
"136","AO","Glutamate","Male","Control",11.25,"23623004",-14.85724163,-11.19513226,NA,NA,39,17,2,"17.1.1"
"137","AO","Glutamate","Male","Control",11.33333333,"23623004",-4.874781609,-6.705836296,NA,NA,39,17,2,"17.1.1"
"138","AO","Glutamate","Male","Control",11.41666667,"23623004",-3.927130461,-4.537481785,NA,NA,39,17,2,"17.1.1"
"139","AO","Glutamate","Male","Control",11.5,"23623004",-4.43307972,-15.41940784,NA,NA,39,17,2,"17.1.1"
"140","AO","Glutamate","Male","Control",11.58333333,"23623004",-4.955091,-4.344739437,NA,NA,39,17,2,"17.1.1"
"141","AO","Glutamate","Male","Control",11.66666667,"23623004",-4.730224609,-4.730224609,NA,NA,39,17,2,"17.1.1"
"142","AO","Glutamate","Male","Control",11.75,"23623004",-4.58566761,-2.754612923,NA,NA,39,17,2,"17.1.1"
"143","AO","Glutamate","Male","Control",11.83333333,"23623004",-4.826595783,-12.76116657,NA,NA,39,17,2,"17.1.1"
"144","AO","Glutamate","Male","Control",11.91666667,"23623004",-7.790013313,-5.348607063,NA,NA,39,17,2,"17.1.1"
"145","AO","Glutamate","Male","Control",12,"23623004",-6.159732342,-15.3150053,NA,NA,39,17,2,"17.1.1"
"146","AO","Glutamate","Male","Control",12.08333333,"23623004",-2.867046118,0.795063198,NA,NA,39,17,2,"17.1.1"
"147","AO","Glutamate","Male","Control",12.16666667,"23623004",-6.665681362,-6.0553298,NA,NA,39,17,2,"17.1.1"
"148","AO","Glutamate","Male","Control",12.25,"23623004",-0.289113909,6.424753189,NA,NA,39,17,2,"17.1.1"
"149","AO","Glutamate","Male","Control",12.33333333,"23623004",-2.810829639,-4.031532764,NA,NA,39,17,2,"17.1.1"
"150","AO","Glutamate","Male","Control",12.41666667,"23623004",-6.007144451,-7.227847576,NA,NA,39,17,2,"17.1.1"
"151","AO","Glutamate","Male","Control",12.5,"23623004",-6.440814972,-7.051166534,NA,NA,39,17,2,"17.1.1"
"152","AO","Glutamate","Male","Control",12.58333333,"23623004",-4.240337372,-5.461040497,NA,NA,39,17,2,"17.1.1"
"153","AO","Glutamate","Male","Control",12.66666667,"23623004",-3.413150072,-10.73736858,NA,NA,39,17,2,"17.1.1"
"154","AO","Glutamate","Male","Control",12.75,"23623004",-5.798339844,-13.12255859,NA,NA,39,17,2,"17.1.1"
"155","AO","Glutamate","Male","Control",12.83333333,"23623004",-5.436947346,-3.605892897,NA,NA,39,17,2,"17.1.1"
"156","AO","Glutamate","Male","Control",12.91666667,"23623004",-3.54967618,-10.87389469,NA,NA,39,17,2,"17.1.1"
"157","AO","Glutamate","Male","Control",13,"23623004",-4.890843391,-5.501194954,NA,NA,39,17,2,"17.1.1"
"158","AO","Glutamate","Male","Control",13.08333333,"23623004",-5.517256737,-9.789717674,NA,NA,39,17,2,"17.1.1"
"159","AO","Glutamate","Male","Control",13.16666667,"23623004",-3.348902702,-2.128199577,NA,NA,39,17,2,"17.1.1"
"160","AO","Glutamate","Male","Control",13.25,"23623004",-13.26711559,-14.48781872,NA,NA,39,17,2,"17.1.1"
"161","AO","Glutamate","Male","Control",13.33333333,"23623004",-2.537777662,-3.758480787,NA,NA,39,17,2,"17.1.1"
"162","AO","Glutamate","Male","Control",13.41666667,"23623004",-4.513389111,-5.734092236,NA,NA,39,17,2,"17.1.1"
"163","AO","Glutamate","Male","Control",13.5,"23623004",-3.798635483,-6.850393295,NA,NA,39,17,2,"17.1.1"
"164","AO","Glutamate","Male","Control",13.58333333,"23623004",-7.62136364,-5.790308952,NA,NA,39,17,2,"17.1.1"
"165","AO","Glutamate","Male","Control",13.66666667,"23623004",-7.195723534,-4.754317284,NA,NA,39,17,2,"17.1.1"
"166","AO","Glutamate","Male","Control",13.75,"23623004",-5.62969017,-11.7332058,NA,NA,39,17,2,"17.1.1"
"167","AO","Glutamate","Male","Control",13.83333333,"23623004",-5.308452606,-10.80161667,NA,NA,39,17,2,"17.1.1"
"168","AO","Glutamate","Male","Control",13.91666667,"23623004",-6.023206234,-18.84058952,NA,NA,39,17,2,"17.1.1"
"169","AO","Glutamate","Male","Control",14,"23623004",-5.003276825,-6.834331512,NA,NA,39,17,2,"17.1.1"
"170","AO","Glutamate","Male","Control",14.08333333,"23623004",-6.215948582,-14.76087093,NA,NA,39,17,2,"17.1.1"
"171","AO","Glutamate","Male","Control",14.16666667,"23623004",-12.43189716,-13.65260029,NA,NA,39,17,2,"17.1.1"
"172","AO","Glutamate","Male","Control",14.25,"23623004",-6.480969906,-16.24659538,NA,NA,39,17,2,"17.1.1"
"173","AO","Glutamate","Male","Control",14.33333333,"23623004",-9.829872131,-3.726356983,NA,NA,39,17,2,"17.1.1"
"174","AO","Glutamate","Male","Control",14.41666667,"23623004",-5.653782845,-7.484837532,NA,NA,39,17,2,"17.1.1"
"175","AO","Glutamate","Male","Control",14.5,"23623004",-9.82184124,-5.549380779,NA,NA,39,17,2,"17.1.1"
"176","AO","Glutamate","Male","Control",14.58333333,"23623004",-6.529155731,-4.698101044,NA,NA,39,17,2,"17.1.1"
"177","AO","Glutamate","Male","Control",14.66666667,"23623004",-6.232010841,-5.011307716,NA,NA,39,17,2,"17.1.1"
"178","AO","Glutamate","Male","Control",14.75,"23623004",-5.469071388,-3.638016462,NA,NA,39,17,2,"17.1.1"
"179","AO","Glutamate","Male","Control",14.83333333,"23623004",-7.011012077,-7.62136364,NA,NA,39,17,2,"17.1.1"
"180","AO","Glutamate","Male","Control",14.91666667,"23623004",-17.92506218,-7.54908514,NA,NA,39,17,2,"17.1.1"
"181","AO","Glutamate","Male","Control",15,"23623004",-9.404232979,-19.16985703,NA,NA,39,17,2,"17.1.1"
"182","AO","Glutamate","Male","Control",15.08333333,"23623004",-3.533614397,-9.637129784,NA,NA,39,17,2,"17.1.1"
"183","AO","Glutamate","Male","Control",15.16666667,"23623004",-4.641884327,2.071982861,NA,NA,39,17,2,"17.1.1"
"184","AO","Glutamate","Male","Control",15.25,"23623004",-20.59936523,-12.05444336,NA,NA,39,17,2,"17.1.1"
"185","AO","Glutamate","Male","Control",15.33333333,"23623004",-9.155273438,-9.155273438,NA,NA,39,17,2,"17.1.1"
"186","AO","Glutamate","Male","Control",15.41666667,"23623004",-5.886680126,-20.5351181,NA,NA,39,17,2,"17.1.1"
"187","AO","Glutamate","Male","Control",15.5,"23623004",-17.27455521,-6.288227081,NA,NA,39,17,2,"17.1.1"
"188","AO","Glutamate","Male","Control",15.58333333,"23623004",-6.167763233,-7.388466358,NA,NA,39,17,2,"17.1.1"
"189","AO","Glutamate","Male","Control",15.66666667,"23623004",-6.143670559,-14.68859196,NA,NA,39,17,2,"17.1.1"
"190","AO","Glutamate","Male","Control",15.75,"23623004",-6.015175343,-6.625526905,NA,NA,39,17,2,"17.1.1"
"191","AO","Glutamate","Male","Control",15.83333333,"23623004",-7.862291813,-10.30369854,NA,NA,39,17,2,"17.1.1"
"192","AO","Glutamate","Male","Control",15.91666667,"23623004",-10.6249361,-11.84563923,NA,NA,39,17,2,"17.1.1"
"193","AO","Glutamate","Male","Control",16,"23623005",-2.248663664,-2.248663664,NA,NA,39,17,2,"17.1.1"
"194","AO","Glutamate","Male","Control",16.08333333,"23623005",-2.401251554,-4.842657566,NA,NA,39,17,2,"17.1.1"
"195","AO","Glutamate","Male","Control",16.16666667,"23623005",-13.00209427,-6.288227081,NA,NA,39,17,2,"17.1.1"
"196","AO","Glutamate","Male","Control",16.25,"23623005",-4.457172394,-3.84682107,NA,NA,39,17,2,"17.1.1"
"197","AO","Glutamate","Male","Control",16.33333333,"23623005",-3.204345703,-14.19067383,NA,NA,39,17,2,"17.1.1"
"198","AO","Glutamate","Male","Control",16.41666667,"23623005",-5.461040497,-4.240337372,NA,NA,39,17,2,"17.1.1"
"199","AO","Glutamate","Male","Control",16.5,"23623005",-3.437242985,-22.35814095,NA,NA,39,17,2,"17.1.1"
"200","AO","Glutamate","Male","Control",16.58333333,"23623005",-5.75818491,-12.47205257,NA,NA,39,17,2,"17.1.1"
"201","AO","Glutamate","Male","Control",16.66666667,"23623005",-4.569605827,-11.28347301,NA,NA,39,17,2,"17.1.1"
"202","AO","Glutamate","Male","Control",16.75,"23623005",-8.36824131,-12.64070225,NA,NA,39,17,2,"17.1.1"
"203","AO","Glutamate","Male","Control",16.83333333,"23623005",-7.115414143,-13.82928181,NA,NA,39,17,2,"17.1.1"
"204","AO","Glutamate","Male","Control",16.91666667,"23623005",-5.40482378,-7.235878468,NA,NA,39,17,2,"17.1.1"
"205","AO","Glutamate","Male","Control",17,"23623005",-4.521420002,-5.742123127,NA,NA,39,17,2,"17.1.1"
"206","AO","Glutamate","Male","Control",17.08333333,"23623005",-3.493459702,-13.86943626,NA,NA,39,17,2,"17.1.1"
"207","AO","Glutamate","Male","Control",17.16666667,"23623005",-6.697805405,-10.35991478,NA,NA,39,17,2,"17.1.1"
"208","AO","Glutamate","Male","Control",17.25,"23623005",-3.0276649,-17.67610168,NA,NA,39,17,2,"17.1.1"
"209","AO","Glutamate","Male","Control",17.33333333,"23623005",-15.82095528,-12.76919746,NA,NA,39,17,2,"17.1.1"
"210","AO","Glutamate","Male","Control",17.41666667,"23623005",-6.938733578,-3.276624203,NA,NA,39,17,2,"17.1.1"
"211","AO","Glutamate","Male","Control",17.5,"23623005",-7.701673031,-8.312024117,NA,NA,39,17,2,"17.1.1"
"212","AO","Glutamate","Male","Control",17.58333333,"23623005",-3.260562181,-22.7918129,NA,NA,39,17,2,"17.1.1"
"213","AO","Glutamate","Male","Control",17.66666667,"23623005",-1.983642578,-7.476806641,NA,NA,39,17,2,"17.1.1"
"214","AO","Glutamate","Male","Control",17.75,"23623005",-5.33254528,-7.77395153,NA,NA,39,17,2,"17.1.1"
"215","AO","Glutamate","Male","Control",17.83333333,"23623005",-11.25134945,-9.420294762,NA,NA,39,17,2,"17.1.1"
"216","AO","Glutamate","Male","Control",17.91666667,"23623005",-12.80132103,-5.47710228,NA,NA,39,17,2,"17.1.1"
"217","AO","Glutamate","Male","Control",18,"23623005",-4.119873047,-6.561279297,NA,NA,39,17,2,"17.1.1"
"218","AO","Glutamate","Male","Control",18.08333333,"23623005",-22.7918129,-13.02618694,NA,NA,39,17,2,"17.1.1"
"219","AO","Glutamate","Male","Control",18.16666667,"23623005",-2.208508968,-2.208508968,NA,NA,39,17,2,"17.1.1"
"220","AO","Glutamate","Male","Control",18.25,"23623005",-9.693346977,-4.200182438,NA,NA,39,17,2,"17.1.1"
"221","AO","Glutamate","Male","Control",18.33333333,"23623005",-4.513389111,-6.344443798,NA,NA,39,17,2,"17.1.1"
"222","AO","Glutamate","Male","Control",18.41666667,"23623005",-9.404232979,-5.742123127,NA,NA,39,17,2,"17.1.1"
"223","AO","Glutamate","Male","Control",18.5,"23623005",-8.850097656,-4.577636719,NA,NA,39,17,2,"17.1.1"
